txn_id,utr,amount,txn_date,status
1,LEWCTMBSBPCC,1299,2025-11-03,SUCCESS
2,P4DHW8UN9B5K,299,2025-10-26,SUCCESS
3,EDK4FUWMTCBG,999,2025-11-03,SUCCESS
4,XPLUQK3YHUS6,999,2025-10-29,SUCCESS
5,ZK9DP2ERBX2U,1299,2025-11-02,SUCCESS
6,6LYVUQ48RXBY,299,2025-10-28,SUCCESS
7,W94KNXAQFDB2,199,2025-10-25,FAILED
8,EHN5CQT645JP,299,2025-10-27,SUCCESS
9,M68EFHHRUJAP,499,2025-10-26,SUCCESS
10,MU8YSVXB6253,499,2025-10-30,SUCCESS
11,NNDWBCGFLBAE,199,2025-10-28,SUCCESS
12,DMA5VEJMMD59,1299,2025-10-30,SUCCESS
13,QRCDLJ4FA8SE,199,2025-10-25,SUCCESS
14,TAS95YJMF2T2,1299,2025-10-31,SUCCESS
15,LH39534ZHSMA,199,2025-10-28,SUCCESS
16,AJJY8Q798MHH,999,2025-10-28,SUCCESS
17,GGV64RW3CX73,499,2025-10-29,SUCCESS
18,2RF3L39NN8ZF,999,2025-10-27,SUCCESS
19,EE63E49XMTEA,1299,2025-10-26,SUCCESS
20,9WS7P54GJKHU,1299,2025-10-27,SUCCESS
21,JPE7MQU6P7ST,1499,2025-11-01,SUCCESS
22,SAQFA3FRZTLS,199,2025-11-03,SUCCESS
23,T3DTHJ2ST27Q,199,2025-11-03,SUCCESS
24,VSSYQTR8Y68J,1499,2025-10-25,SUCCESS
25,T84EDQCHCX36,199,2025-10-27,SUCCESS
26,EYXE68H8NR94,999,2025-10-27,FAILED
27,FPSLGLZATQAL,1499,2025-10-31,SUCCESS
28,VSC939DJB2JE,199,2025-10-27,SUCCESS
29,P74JE7UYCBYP,499,2025-10-25,SUCCESS
30,C8W3C5C5QLT7,199,2025-10-27,SUCCESS
31,JESHDFBGKK2K,299,2025-11-01,SUCCESS
32,SFMAJAZTGR7D,1299,2025-10-27,SUCCESS
33,4PR4NSY9L4YW,299,2025-10-28,SUCCESS
34,NMBECZJFC45X,999,2025-11-02,SUCCESS
35,KHKQFQJ89TH8,999,2025-11-02,SUCCESS
36,KMANRSGSAJCN,199,2025-11-01,SUCCESS
37,BAKHUS2XY6NL,999,2025-10-29,SUCCESS
38,9EZWB46WZ3ES,199,2025-10-28,SUCCESS
39,S434U6XYHAEM,299,2025-10-29,SUCCESS
40,D4TWWXRA3ZST,199,2025-11-02,SUCCESS
41,XCZJCJZGZ9RN,199,2025-10-27,SUCCESS
42,RX2VWCEJZKUA,1499,2025-10-26,SUCCESS
43,BJXYXKSQQD6G,1299,2025-10-26,SUCCESS
44,97AQ48QJG8GU,1299,2025-11-03,SUCCESS
45,ES8E4S6YH6RA,1299,2025-11-03,SUCCESS
46,ARQKEML4A24D,499,2025-11-01,SUCCESS
47,7Y6KMN9UMPJB,299,2025-11-02,SUCCESS
48,D4K7HJSGM863,999,2025-10-29,SUCCESS
49,W78TZBZQ2WKB,199,2025-10-26,FAILED
50,7ERLKZ9JWKTN,1499,2025-11-02,SUCCESS
51,FFG6RH79QEGC,1299,2025-11-03,SUCCESS
52,LCHJU6ZPPSNL,199,2025-10-26,SUCCESS
53,BJ8ESW5GJHNQ,1499,2025-10-28,SUCCESS
54,855ABY6RUAN7,1299,2025-11-01,SUCCESS
55,459HDESX8ZW2,999,2025-11-03,SUCCESS
56,QTB3H7WKEJWY,299,2025-11-02,FAILED
57,DCSUNHVAKQ8W,999,2025-10-25,SUCCESS
58,6RHH8YKARXPJ,999,2025-11-02,SUCCESS
59,X7HBLPXG3ZSG,999,2025-10-31,SUCCESS
60,9K4HH2K8RFHP,299,2025-11-01,SUCCESS
61,X8ENG9EBBN66,999,2025-10-27,SUCCESS
62,Z97LF7ZBXNML,999,2025-10-30,SUCCESS
63,FAJM8D8GM44P,1299,2025-11-01,SUCCESS
64,BRM7GM6AP32B,999,2025-10-31,SUCCESS
65,BC7JZ6LJ8VJY,299,2025-11-02,SUCCESS
66,LJA27W8AHR88,999,2025-10-29,SUCCESS
67,NJPR7F3Z42VL,299,2025-10-25,SUCCESS
68,LM3CG2HCBTL9,1499,2025-10-30,SUCCESS
69,69JCDRYQHPVX,299,2025-11-01,SUCCESS
70,Z5XD4KUMZGHH,1499,2025-10-29,SUCCESS
71,E6ULN9SH3W9D,299,2025-10-25,SUCCESS
72,R447BKDG9U7M,499,2025-10-30,SUCCESS
73,5QJ28DVVGMEG,999,2025-10-27,SUCCESS
74,JVWGALXFKG3T,499,2025-11-01,SUCCESS
75,CDNTWCFYPKK8,499,2025-10-30,SUCCESS
76,KUMP59MGZGA6,1499,2025-10-26,SUCCESS
77,P4N6QFATW7CV,999,2025-10-27,FAILED
78,MSEKS7DR38GE,999,2025-10-31,SUCCESS
79,89RB7N6V4F3H,499,2025-10-25,SUCCESS
80,N54FGNSNDHZ6,199,2025-10-30,FAILED
